"ID_fish","trial","cage","treatment","exploration","log_boldness","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_ces","dens_bs2","name","body_condition","z_bc","z_ces","z_bs2","z_dens"
"B/BB",1,"5","C",0.2346851,0.926153124453762,1.11463055543744,0.926153124453762,1.11463055543744,-0.714029788371908,0,0,0,"fulton1",0.033457980481986,2.1580162187165,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BB",2,"5","C",0.2234685,0.3110527158533,0.610963513967586,0.3110527158533,0.610963513967587,-0.873444242243241,0,0,0,"fulton2",0.0269713972732514,0.0679927176403498,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BB",3,"5","E",0.2397661,-0.179589373424393,1.08105216826168,-0.179589373424393,1.08105216826168,-0.641816743409955,4.77453580901857,2.12201591511936,2.6525198938992,"fulton3",0.0303546896369057,1.1581137140884,0.0171170504115179,0.234155705183645,0.127350337495544
"B/BB",4,"5","E",0.2879929,1.25678924724569,0.259045285667272,1.25678924724569,0.259045285667273,0.0436003155884933,4.77453580901857,2.12201591511936,2.6525198938992,"fulton4",0.0275512577996917,0.254827926348486,0.0171170504115179,0.234155705183645,0.127350337495544
"B/BG",1,"6","C",0.2822581,1.13862881377707,1.0127607844526,1.13862881377707,1.0127607844526,-0.0379047759776959,0,0,0,"fulton1",0.0247256292025962,-0.655609816173668,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BG",2,"6","C",0.3481982,-0.24626873047039,-0.17571455629361,-0.246268730470389,-0.17571455629361,0.899260232110413,0,0,0,"fulton2",0.0228096850023897,-1.27294074007055,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BG",3,"6","E",0.376163,-0.274228589396566,1.44941733128753,-0.274228589396566,1.44941733128753,1.29670627811553,6.3973063973064,2.02020202020202,4.37710437710438,"fulton3",0.0305128626612969,1.20907819378069,-0.00656974457860606,0.781555938445713,0.382083294000862
"B/BG",4,"6","E",0.4804762,-2.47163656972478,1.40199465817834,-2.47163656972478,1.40199465817834,2.77924392852396,6.3973063973064,2.02020202020202,4.37710437710438,"fulton4",0.0278882603607423,0.363412561718639,-0.00656974457860606,0.781555938445713,0.382083294000862
"B/BR",1,"5","C",0.1935484,1.08865094881091,-0.475643210795449,1.08865094881091,-0.475643210795449,-1.29867973261249,0,0,0,"fulton1",0.0254825247725392,-0.411732650316745,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BR",2,"5","C",0.2364865,0.22850728275401,-0.053862432195227,0.22850728275401,-0.0538624321952266,-0.688427627538517,0,0,0,"fulton2",0.0283369965985686,0.507998586851033,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/BR",3,"5","E",0.3198937,0.716504192595597,0.313308014896318,0.716504192595597,0.313308014896318,0.496986244484827,6.12912013075456,2.72405339144647,3.40506673930809,"fulton3",0.024142301782836,-0.843562082704258,0.157179841346973,0.473021543725722,0.339984995531605
"B/BR",4,"5","E",0.3424408,0.26234207194987,-0.44458868770123,0.262342071949871,-0.44458868770123,0.817433941013395,6.12912013075456,2.72405339144647,3.40506673930809,"fulton4",0.0243773321490195,-0.767833617812511,0.157179841346973,0.473021543725722,0.339984995531605
"B/GB",1,"7","C",0.1148649,0.598618668819435,-1.38440518049923,0.598618668819436,-1.38440518049923,-2.41695863898207,0,0,0,"fulton1",0.0227982036383425,-1.27664011767982,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GB",2,"7","C",0.3148148,-0.0696813566387066,-1.65373648601628,-0.0696813566387062,-1.65373648601628,0.424803045496978,0,0,0,"fulton2",0.02756779501168,0.260156334323163,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GB",3,"7","E",0.2038104,0.138582315194883,-0.675388428167701,0.138582315194883,-0.675388428167701,-1.15283240582651,13.9630888780962,8.49927149101506,5.46381738708111,"fulton3",0.0245412816969878,-0.715007900910715,1.50077255291935,1.12648943456799,1.56971520791246
"B/GB",4,"7","E",0.2942459,-0.232574775064468,-0.745996762378152,-0.232574775064468,-0.745996762378152,0.132470256573948,13.9630888780962,8.49927149101506,5.46381738708111,"fulton4",0.0232137503871307,-1.14274798328253,1.50077255291935,1.12648943456799,1.56971520791246
"B/GG",1,"C2","C",0.1302409,1.45566066771873,-0.147394931441281,1.45566066771873,-0.147394931441281,-2.19842925906965,0,0,0,"fulton1",0.0281857095521257,0.459252818501328,-0.4765656241195,-0.607780438155728,-0.622128135524506
"B/GG",2,"C2","C",0.03069171,-0.427019853059829,-1.46489290976104,-0.427019853059829,-1.46489290976104,-3.61325904324521,0,0,0,"fulton2",0.0286014816320156,0.593217556191131,-0.4765656241195,-0.607780438155728,-0.622128135524506
